"project_id","placename","longitude","latitude","feature_type","line_of_sight_m","water_depth_m","elevation","elev_units","road_dist_m","water_dist_m","lcc_habitats","biomass_agb","mean_ndvi"
"AlgarRestorationProject","ALG046",-112.5607123,56.33379516,"NatRegen",34.5,0,511,"meters",11544.3095649747,2580.47192895128,"closed_forest_evergreen_needle",16.588501,7520.75
"AlgarRestorationProject","ALG047",-112.4563346,56.21704844,"HumanUse",363.8055556,0,524,"meters",10773.3746988691,2895.34143034226,"closed_forest_evergreen_needle",15.9866505,7351
"AlgarRestorationProject","ALG048",-112.4553341,56.23532818,"HumanUse",392.9305556,0,525,"meters",12432.4555844676,3482.5689034804,"closed_forest_other",11.4705248,7006
"AlgarRestorationProject","ALG049",-112.5483653,56.37320857,"NatRegen",80.77777778,0.484112913037134,513,"meters",15123.7588266068,5858.20656194251,"closed_forest_evergreen_needle",13.8994007,7408.5
"AlgarRestorationProject","ALG052",-112.4453138,56.34019101,"NatRegen",13.95833333,0.0052890025488937,522,"meters",17999.5332521505,8035.04024338191,"closed_forest_evergreen_needle",37.869976,7734.25
"AlgarRestorationProject","ALG053",-112.5515799,56.45544966,"NatRegen",99.30555556,0,502,"meters",11383.3141230354,4491.22327849076,"shrubs",19.4542007,7109.5
"AlgarRestorationProject","ALG054",-112.6467312,56.421884,"NatRegen",35.47222222,0.245850044483578,507,"meters",10493.1083427294,1519.30767535777,"closed_forest_evergreen_needle",26.663826,7195.75
"AlgarRestorationProject","ALG055",-112.5868312,56.35276482,"HumanUse",189.0694444,0.324690853121348,510,"meters",11874.5714091234,2751.626738012,"closed_forest_evergreen_needle",18.2738495,7241
"AlgarRestorationProject","ALG056",-112.605999,56.42602126,"NatRegen",55.41666667,0.200465592105169,505,"meters",12818.4222500533,3907.49437739524,"closed_forest_evergreen_needle",20.7703743,7064
"AlgarRestorationProject","ALG057",-112.4266152,56.16541237,"NatRegen",93.04166667,0.718450127552499,532,"meters",8879.95575583788,2775.02349911852,"closed_forest_deciduous_broad",44.0956268,8206.75
"AlgarRestorationProject","ALG058",-112.6308865,56.41724102,"NatRegen",80.91666667,0.307942265690112,506,"meters",11267.744446217,2118.94393220455,"closed_forest_evergreen_needle",18.8288746,6842.25
"AlgarRestorationProject","ALG059",-112.4953724,56.36631122,"NatRegen",41,0.144118548765413,508,"meters",16946.6508569538,7901.35938002608,"closed_forest_evergreen_needle",28.2208748,6488.25
"AlgarRestorationProject","ALG060",-112.5180163,56.35477698,"HumanUse",189.9027778,0,510,"meters",15055.535094759,6023.11045339471,"closed_forest_evergreen_needle",14.2579994,7147.75
"AlgarRestorationProject","ALG061",-112.4415123,56.15983008,"Offline",11.16666667,0.00883893216420657,535,"meters",7813.44151129844,1672.10728404845,"closed_forest_evergreen_needle",52.1136246,7483.25
"AlgarRestorationProject","ALG062",-112.4104105,56.20002261,"Offline",16,0.0148677991945589,525,"meters",11546.0337615564,4602.91132744667,"closed_forest_evergreen_needle",21.5634747,7548.25
"AlgarRestorationProject","ALG063",-112.4785381,56.2308028,"Offline",28.94444444,0,524,"meters",11245.5747474701,3228.95660563866,"closed_forest_evergreen_needle",17.5313492,7048.5
"AlgarRestorationProject","ALG064",-112.3965139,56.27622558,"Offline",34.27777778,0,526,"meters",18241.8107164697,1155.75563715417,"closed_forest_evergreen_needle",14.4605007,7260
"AlgarRestorationProject","ALG065",-112.3847975,56.35152984,"Offline",20.11111111,0.000660268711647161,518,"meters",21912.2466856077,5153.31951086027,"closed_forest_evergreen_needle",40.7151489,8126.25
"AlgarRestorationProject","ALG066",-112.3950852,56.3239189,"Offline",36.94444444,0,525,"meters",20227.3144390402,4668.97386198753,"closed_forest_evergreen_needle",17.7763004,7323.75
"AlgarRestorationProject","ALG067",-112.5517103,56.35670497,"Offline",188.8333333,0.07082386002723,511,"meters",13651.3834197822,4463.69711920464,"open_forest_other",14.6687756,7304
"AlgarRestorationProject","ALG068",-112.4737099,56.36418948,"Offline",72.27777778,0,510,"meters",17861.1739338391,8896.30770662023,"closed_forest_evergreen_needle",18.5959988,7406.75
"AlgarRestorationProject","ALG069",-112.5074726,56.49351647,"Offline",22.85555556,0.0119948849005772,506,"meters",8814.18919709398,2009.1281893264,"closed_forest_evergreen_needle",41.6290512,7417.25
"AlgarRestorationProject","ALG070",-112.5314177,56.45203396,"Offline",28.61111111,0,503,"meters",12277.5740950095,5655.81992749348,"open_forest_other",15.6840506,7441.75
"AlgarRestorationProject","ALG071",-112.5802163,56.42405201,"Offline",20.05555556,0.240603580354425,505,"meters",13724.2031807999,5320.22418759264,"open_forest_evergreen_needle",11.2590504,6876.25
"AlgarRestorationProject","ALG072",-112.5465368,56.42079233,"Offline",52.44444444,0.412471579958545,507,"meters",14970.7276260647,7272.25547382243,"closed_forest_evergreen_needle",16.3082752,7246.75
"AlgarRestorationProject","ALG073",-112.436108,56.30917208,"Offline",55.94444444,0,528,"meters",17345.174397214,5391.62315329738,"open_forest_other",14.2479248,7024.75
